variable_2008,description_2008,topic_2008,variable_2014,description_2014,topic_2014
EALIDB,Money owed in own name for store bills/credit cards,Assets and Liabilities,EOCCDEBT,Owed any money for credit cards or store bills in own name only during the reference period.,Assets
EALIDO,Money owed in own name for other debt,Assets and Liabilities,EOOTDEBT,Owed any money for other debts in own name only during the reference period.,Assets
EALIYN,Receipt of alimony payments (ISS Code 29),General Income,EALIANY,"Did ... receive payments from a spouse, such as alimony, at any time during the reference period?",Programs
EALJCH,Jointly owned non-interest earning checking accounts,Assets and Liabilities,*** NO MATCH AVAILABLE ***,Owned any regular (non-interest-earning) checking accounts jointly during the reference period [for respondents without a spouse or civil union partner in the household].,Assets
EALJCH,Jointly owned non-interest earning checking accounts,Assets and Liabilities,EJSOWNCHK,"Owned any regular (non-interest-earning) checking accounts jointly during the reference period [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse or partner, and this response is divided by 2 and copied to both spouses'/partners' records].",Assets
EALJDB,Money owed for store bills/credit cards with spouse,Assets and Liabilities,EJSCCDEBT,Owed any money for credit cards or store bills jointly with a spouse or civil union partner during the reference period.,Assets
EALJDO,Money owed for other debt with spouse,Assets and Liabilities,EJSOTDEBT,Owed any money for other debts jointly with a spouse or civil union partner during the reference period.,Assets
EALLI,Life insurance coverage,Assets and Liabilities,EOWN_LIFE,Owned any life insurance policies during the reference period.,Assets
EALLIT,Type(s) of life insurance policy,Assets and Liabilities,ELIFE_TYPE,Type of life insurance policy owned during the reference period,Assets
EALLTH,Report of complete adult tooth loss,Medical Expenses,EALLTH,Has ... lost all of his/her permanent adult teeth?,Health Care
EANTRAF,Problem in neighborhood street noise,Adult Well Being,EAWBTRAFF,Is street noise or traffic a problem?,Adult and Child Well Being
EANTRSH,"Problem in neighb trash, litter",Adult Well Being,EAWBTRASH,Is trash a problem?,Adult and Child Well Being
EAST1A,U.S. government savings bonds owned,Assets,EOWN_GOVS,"Owned any government securities during the reference period [such as savings bonds, T-Bills, T-Bonds, T-Notes, and government sponsored enterprise (GSE) credit instruments such as Fannie Mae].",Assets
EAST1B,IRA or Keogh account owned,Assets,EOWN_IRAKEO,Owned any IRA or KEOGH accounts during the reference period.,Assets
EAST1C,401k or thrift plan owned,Assets,EOWN_THR401,"Owned any 401k, 403b, 503b, or Thrift Savings Plan accounts during the reference period.",Assets
EAST2A,Interest earning checking account owned,Assets,EOWN_ICHK,Owned any interest-earning checking accounts during the reference period.,Assets
EAST2B,Savings account owned,Assets,EOWN_SAV,Owned any savings accounts during the reference period.,Assets
EAST2C,Money market deposit account owned,Assets,EOWN_MM,Owned any money market accounts or money market funds during the reference period.,Assets
EAST2D,Certificate of deposit owned,Assets,EOWN_CD,Owned any certificates of deposit during the reference period.,Assets
EAST3A,Mutual funds owned,Assets,EOWN_MF,"Owned any mutual funds during the reference period [such as stock funds, bond funds, and similar long-term assets].",Assets
EAST3B,Stocks owned,Assets,EOWN_ST,Owned any stocks during the reference period [excluding stock-options].,Assets
EAST3C,Municipal or corporate bonds owned,Assets,EOWN_MCBD,Owned any municipal or corporate bonds during the reference period.,Assets
EAST4A,Rental property owned,Assets,EOWN_RP,"Owned any rental property during the reference period [such as residential, commercial, industrial, and land rental property, as well as equipment which is rented out (e.g., tractors and computers)].",Assets
EAST4C,Other financial investments owned,Assets,EOWN_OINV,"Owned any other financial investments during the reference period [such as coins, collectibles, jewelry, artwork, mortgages paid to him/her, other loans owed to him/her, and royalties].",Assets
EAUTONUM,Number of vehicles owned by HH,Real Estate,TVEH_NUM,"Number of cars, trucks, or vans owned by the household during the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets
EAUTOOWN,HH member ownership of vehicle,Real Estate,EOWN_VEH,"Whether any member of the household was the owner of a car, truck, or van during the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets
EAWOP,Had full-week unpaid absences from work,Labor Force,EJB1_AWOP1,Did you have any time away from work without pay?,Labor Force
EAWOP,Had full-week unpaid absences from work,Labor Force,EJB1_AWOP2,Did you have a second time away from work without pay?,Labor Force
EAWOP,Had full-week unpaid absences from work,Labor Force,EJB1_AWOP3,Did you have a third time away from work without pay?,Labor Force
EAWOP,Had full-week unpaid absences from work,Labor Force,EJB2_AWOP1,Did you have any time away from work without pay?,Labor Force
EAWOP,Had full-week unpaid absences from work,Labor Force,EJB2_AWOP2,Did you have a second time away from work without pay?,Labor Force
EAWOP,Had full-week unpaid absences from work,Labor Force,EJB2_AWOP3,Did you have a third time away from work without pay?,Labor Force
EBDJT,Jointly owned municipal or corporate bonds,Assets,EJSOWNMCBD,"Owned any municipal or corporate bonds jointly during the reference period [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse or partner, and this response is divided by 2 and copied to both spouses'/partners' records].",Assets
EBDOAST,Solely owned municipal or corporate bonds,Assets,EOOWNMCBD,Owned any municipal or corporate bonds individually during the reference period.,Assets
EBIZNOW1,Ownership of business,Business,RJB1_CONTFLG,Flag indicating that a job spell continued past month 12,Labor Force
EBIZNOW2,Ownership of business,Business,RJB2_CONTFLG,Flag indicating that a job spell continued past month 12,Labor Force
EBMNTH,Month of birth,Demographic,EDOB_BMONTH,Month of birth,Demographics
EBNO1,Across-wave business index/number,Business,EJB1_JOBID,Unique identifier for a job which is consistent across waves.,Labor Force
EBNO2,Across-wave business index/number,Business,EJB2_JOBID,Unique identifier for a job which is consistent across waves.,Labor Force
EBORNUS,Respondent was born in the U.S.,Demographic,EBORNUS,Where was ... born?,Demographics
EBRKFST,Receipt of school breakfast,Household,EBREAK_YN,Did child usually get the school breakfast that his/her school provided?,Programs
EBUSCNTR,Number of businesses owned during reference period,Labor Force,RMNUMJOBS,Recode of number of jobs held within the reference month.,Labor Force
ECDJT,Jointly owned certificates of deposit,Assets,EJSOWNCD,"Owned any certificates of deposit jointly during the reference period [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse or partner, and this response is divided by 2 and copied to both spouses'/partners' records].",Assets
ECDMTH,Medicaid coverage in this month,Health Insurance,RCDMTH,Recode - Monthly Medicaid coverage  (comparable to prior SIPP Panels),Health Insurance
ECDOAST,Solely owned certificates of deposit,Assets,EOOWNCD,Owned any certificates of deposit individually during the reference period.,Assets
ECDUNT1,Medicaid coverage unit for this month,Health Insurance,EMDUNT,Medical Assistance (Medicaid) Coverage Unit; unique within a household. A guardian and children who have Medical Assistance are identified by the same numeric unit value in a month.,Health Insurance
ECFLAG,Flag indicating an other-work-arrangement worker (contingent worker),Labor Force,EJB1_CONCHK,Flag for definite work arrangement.,Labor Force
ECFLAG,Flag indicating an other-work-arrangement worker (contingent worker),Labor Force,EJB2_CONCHK,Flag for definite work arrangement.,Labor Force
ECITIZEN,US Citizenship Status of Respondent,Demographic,ECITIZEN,Is ... a citizen of the United States?,Demographics
ECKD01A,Arrangement of other parent or stepparent,Child Care,EPAR,Child/any child cared for by other parent/step parent while reference parent worked/went to school.,Child and Dependent Care
ECKD01A,Arrangement of other parent or stepparent,Child Care,RPAR,Child is cared for by other parent,Child and Dependent Care
ECKD02A,Arrangement of parent or guardian,Child Care,ESELF,Child/any child cared for by the reference parent while he/she worked/went to school.,Child and Dependent Care
ECKD02A,Arrangement of parent or guardian,Child Care,RSELF,Child is cared for by parent while working,Child and Dependent Care
ECKD03A,Arrangement of sibling age 15 or older,Child Care,ESIB15,Child/children cared for by a sibling 15 years or older while reference parent worked/went to school or when not available.,Child and Dependent Care
ECKD03A,Arrangement of sibling age 15 or older,Child Care,RSIB15,Child is cared for by sibling 15 and older,Child and Dependent Care
ECKD05A,Arrangement of grandparent,Child Care,EGRAN,Child/children cared for by grandparent while reference parent worked/went to school or when not available.,Child and Dependent Care
ECKD05A,Arrangement of grandparent,Child Care,RGRAN,Child is cared for by grandparent,Child and Dependent Care
ECKD06A,Arrangement of any other relative,Child Care,EOTHR,Child/children cared for by other relative while reference parent worked/went to school or when not available.,Child and Dependent Care
ECKD06A,Arrangement of any other relative,Child Care,ROTHR,Child uses other type of child care,Child and Dependent Care
ECKD07A,Arrangement of family day care provider,Child Care,EFAM,Child/children cared for by family day care provider while reference parent worked/went to school or was not available.,Child and Dependent Care
ECKD07A,Arrangement of family day care provider,Child Care,RFAM,Child is in family day care,Child and Dependent Care
ECKD09A,Arrangement of nursery or preschool,Child Care,ENUR,Child/children cared for in a nursery/preschool while reference parent worked/went to school or was not available.,Child and Dependent Care
ECKD09A,Arrangement of nursery or preschool,Child Care,RNUR,Child is in nursery care,Child and Dependent Care
ECKD10A,Arrangement of Head Start program,Child Care,EHEADST,Child/children cared for by a Head Start program while reference parent worked/went to school or was not available.,Child and Dependent Care
ECKD10A,Arrangement of Head Start program,Child Care,RHEADST,Child is in Head Start,Child and Dependent Care
ECKD12F,Arrangement of before or after school care program,Child Care,EPROG,Child/children cared for by before/after school program while reference parent worked/went to school or was not available.,Child and Dependent Care
ECKD12F,Arrangement of before or after school care program,Child Care,RPROG,Child is in before/after school care,Child and Dependent Care
ECKD13F,Arrangement of a non-relative,Child Care,ENREL,Child/children cared for by other non-relative while reference parent worked/went to school or was not available.,Child and Dependent Care
ECKD13F,Arrangement of a non-relative,Child Care,RNREL,Child is in non-relative care,Child and Dependent Care
ECKJT,Jointly owned interest earning checking account,Assets,EJSOWNICHK,"Owned any interest-earning checking accounts jointly during the reference period [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse or partner, and this response is divided by 2 and copied to both spouses'/partners' records].",Assets
ECKOAST,Solely owned interest earning checking account,Assets,EOOWNICHK,Owned any interest-earning checking accounts individually during the reference period.,Assets
ECLOTHTP,Type of clothing assistance ... received,General Income,ECLTH_TYPE,"Did ... receive clothes, money or vouchers, or both, to buy clothing?",Programs
ECLTHSC1,Clothing assistance from-government agency,General Income,ECLTH_SR1YN,Did ... receive assistance from a government social service agency?,Programs
ECLTHSC2,Clothing assistance from-charity,General Income,ECLTH_SR2YN,Did ... receive assistance from a community or religious charitable organization?,Programs
ECLTHSC3,Clothing assistance from-family/friends,General Income,ECLTH_SR3YN,Did ... receive assistance from family or friends?,Programs
ECLTHSC4,Clothing assistance from-employer,General Income,ECLTH_SR4YN,Did ... receive assistance from an employer?,Programs
ECLTHSC5,Clothing assistance from-some place else,General Income,ECLTH_SR5YN,Did ... receive assistance from someplace else?,Programs
ECLUBSCH,Does child participate in any clubs,Child Well-Being,ECLUB,Child/children participate in any clubs or organizations after school or on weekends.,Adult and Child Well Being
ECLUBSCH,Does child participate in any clubs,Child Well-Being,RCLUB,Child is in clubs,Adult and Child Well Being
ECLWRK1,Class of worker,Job,EJB1_CLWRK,Class of worker,Labor Force
ECLWRK2,Class of worker,Job,EJB2_CLWRK,Class of worker,Labor Force
ECLWRK2,Class of worker,Job,EJB3_CLWRK,Class of worker,Labor Force
ECLWRK2,Class of worker,Job,EJB4_CLWRK,Class of worker,Labor Force
ECLWRK2,Class of worker,Job,EJB5_CLWRK,Class of worker,Labor Force
ECLWRK2,Class of worker,Job,EJB6_CLWRK,Class of worker,Labor Force
ECLWRK2,Class of worker,Job,EJB7_CLWRK,Class of worker,Labor Force
ECNTRC1,Coverage by union or something like a union contract,Job,EJB1_CNTRC,Was ... covered either by a union contract or something like a union contract?,Labor Force
ECNTRC2,Coverage by union or something like a union contract,Job,EJB2_CNTRC,Was ... covered either by a union contract or something like a union contract?,Labor Force
ECRMTH,Medicare coverage in this month,Health Insurance,ECRMTH,Edited Monthly Indicator for Medicare Coverage,Health Insurance
EDADDINN,Number of days DAD ate dinner with child,Child Well-Being,EDINROP,How many days in a typical week did other parent eat dinner with child/children?,Adult and Child Well Being
EDADDINN,Number of days DAD ate dinner with child,Child Well-Being,RDINROP,Number of times other parent had dinner with child 0-17.,Adult and Child Well Being
EDALYDRG,Report of daily prescription medicine usage,Medical Expenses,EDALYDRG,Did ... take prescription medication on a daily basis?,Health Care
EDAYCARE,Child cared for by non-fam daycare/babysit,Child Well-Being,EDAYCARE,Child/children cared for in child care center while reference parent worked/went to school or was not available.,Child and Dependent Care
EDAYCARE,Child cared for by non-fam daycare/babysit,Child Well-Being,RDAYCARE,Child is in day care,Child and Dependent Care
EDAYSICK,Number of sickdays in past 12 months,Medical Expenses,TDAYSICK,How many days did illness or injury keep ... in bed more than half of the day?,Health Care
EDDELAY,Physical/mental condition,Child Disability,EDDELAY,Does ... have a serious physical or mental condition or a developmental delay that limits ordinary activity?,Disability
EDIS1,Hearing difficulty,Medical Expenses,EHEARING,Is ... deaf or does he/she have serious difficulty hearing?,Disability
EDIS2,Vision difficulty,Medical Expenses,ESEEING,Is ... blind or does he/she have serious difficulty seeing?,Disability
EDIS3,Cognitive difficulty,Medical Expenses,ECOGNIT,"Does ... have serious difficulty concentrating, remembering, or making decisions?",Disability
EDIS4,Ambulatory difficulty,Medical Expenses,EAMBULAT,Does ... have serious difficulty walking or climbing stairs?,Disability
EDIS5,Self-care difficulty,Medical Expenses,ESELFCARE,Does ... have difficulty dressing or bathing?,Disability
EDIS6,Independent living difficulty,Medical Expenses,EERRANDS,Does ... have difficulty doing errands alone?,Disability
EDISABL,Had a work-limiting physical or mental condition,Labor Force,EDISABL,"Does ... have a physical, mental or other health condition that limits the kind or amount of work he/she can do?",Programs
EDOCNUM,Frequency of physician contact during visit(s),Medical Expenses,TDOCNUM,How many of the visits or calls include contact with a physician?,Health Care
EEATDINN,Number of days you ate dinner with child,Child Well-Being,EDINRPAR,How many days in a typical week did reference parent eat dinner with child/children?,Adult and Child Well Being
EEATDINN,Number of days you ate dinner with child,Child Well-Being,RDINRPAR,Number of times reference parent had dinner with child 0-17.,Adult and Child Well Being
EEDUCATE,Highest Degree received or grade completed,Education,EEDUC,What is the highest level of school ... completed or the highest degree received by December of (reference year)?,Demographics
EEGYAST,Receipt of energy assistance,Household,EENERGY_ASST,Did household receive any energy assistance from the government at any time during the reference year?,Programs
EEGYPMT1,Energy assistance payment by check,Household,EENERGY_PMT1,Energy assistance was received in the form of checks sent to the household.,Programs
EEGYPMT2,Energy assistance payment by coupons,Household,EENERGY_PMT2,Energy assistance was received in the form of coupons or vouchers sent to the household.,Programs
EEGYPMT3,"Energy assist paymnt to utils, fuel dealers, landlord",Household,EENERGY_PMT3,"Energy assistance was received in the form of payments sent directly to the utility company, fuel dealer, or landlord.",Programs
EEMPLOC1,Employer operations in more than one location,Job,EJB1_EMPLOC,Does ... operate in more than one location?,Labor Force
EEMPLOC2,Employer operations in more than one location,Job,EJB2_EMPLOC,Does ... operate in more than one location?,Labor Force
EENLEVEL,Level or grade enrolled,Education,EEDGRADE,Grade level of spell of enrollment,Education Enrollment
EEVERET,Ever retired from a job,Labor Force,EEVERET,Did ... ever retire for any reason from a job or business?,Programs
EEXPSCHL,Has child been expelled from school,Child Well-Being,EEXPSCH,Child/children ever been suspended or expelled from school?,Adult and Child Well Being
EEXPSCHL,Has child been expelled from school,Child Well-Being,REXPSCH,Child was expelled,Adult and Child Well Being
EFCCYN,Receipt of foster child care payments (ISS Code 23),General Income,EFCCANY,Did ... receive foster child care payments at any time during the reference period?,Programs
EFNP,Number of persons in this family or pseudo family,Family,RFPERSONS,Number of persons in family,Demographics
EFOODSC1,food assistance source,General Income,EFOOD_SR1YN,Did ... receive assistance from a government social service agency?,Programs
EFOODSC2,food assistance source,General Income,EFOOD_SR2YN,Did ... receive assistance from a community or religious charitable organization?,Programs
EFOODSC3,food assistance source,General Income,EFOOD_SR3YN,Did ... receive assistance from family or friends?,Programs
EFOODSC4,food assistance source,General Income,EFOOD_SR4YN,Did ... receive assistance from someplace else?,Programs
EFOODTP1,"food assistance received-money, vouchers for groceries",General Income,EFOOD_TYPE1,"Did ... receive money, vouchers, or certificates to buy groceries or food?",Programs
EFOODTP2,food assistance received-bags of groceries,General Income,EFOOD_TYPE2,Did ... receive bags of groceries or packaged foods?,Programs
EFOODTP3,food assistance received-meals from shelter/charity,General Income,EFOOD_TYPE3,"Did ... receive assistance from a shelter, soup kitchen, Meals-on-Wheels, or other charity?",Programs
EFOODTP4,food assistance received-other,General Income,EFOOD_OTH,Did ... receive some other kind of food assistance?,Programs
EFREELUN,Qualify for free or reduced price school lunch,Household,EFREE_LUNCH,"Were the lunches received free or reduced-price because the family qualified for the School Lunch Program, or full-price because the family did not qualify for the School Lunch Program?",Programs
EFREFPER,Person number of the family reference person,Family,RFAMREF,Person number of the family reference person,Demographics
EFTYPE,Type of family (or pseudo-family),Family,RFAMKIND,Kind of family,Demographics
EGASSCE1,Source of gas vouchers -- gov't agency,General Income,EGAS_SOURCE,Did ... receive gas vouchers through a government social service agency?,Programs
EGRDRPT1,Grade/year child repeated - ENTRY 1,Child Well-Being,EREPGRD,Has child/any children repeated a grade or been held back?,Adult and Child Well Being
EGRDRPT2,Grade/year child repeated - ENTRY 2,Child Well-Being,RREPGRD,Child repeated grade,Adult and Child Well Being
EGRNDPR,Is respondent a grandparent,Fertility History,EGRNDPR,Are you a grandparent?,Fertility History
EGVJT,Jointly owned U.S. Government securities,Assets,EJSOWNGOVS,Owned any government securities jointly during the reference period [for respondents with a spouse or civil union partner in the household].,Assets
EGVOAST,Solely owned U.S. Government securities,Assets,EOOWNGOVS,Owned any government securities individually during the reference period.,Assets
EGVTRNT,Receipt of government subsidized rent,Household,EEHC_RENTSUB,Rent subsidy receipt,Residences
EGVTRNT,Receipt of government subsidized rent,Household,ERENTSUB,"Is ... rent amount lower because he/she is in a federal, state, or local government housing program?",Coverage
EHIMTH,Health ins cover this mnth(not Medicare or Medicaid),Health Insurance,RHIMTH,Recode - Monthly Private coverage  (comparable to prior SIPP Panels),Health Insurance
EHIOLDKD,Coverage of older child (20+) outside the household,Health Insurance,RHIOLDKD,Recode - indicates if child over 18 outside the household was covered by this insurance plan (comparable to prior SIPP Panels),Health Insurance
EHIOTHER,Health insurance coverage of nonhousehold members,Health Insurance,RHIOTHER,Recode - indicating if anyone outside household was covered by this insurance plan (comparable to prior SIPP Panels),Health Insurance
EHIOTHR,Coverage of other person(s) outside the household,Health Insurance,RHIOTHR,"Recode - indicates if other person(s) (besides spouse, or younger child, or older child) outside the household was covered by this insurance plan (comparable to prior SIPP Panels)",Health Insurance
EHIOWNER,"Covered by own plan, someone else's, both or neither",Health Insurance,RHIOWNER,Recode -  policyholder during the month (comparable to prior SIPP Panels),Health Insurance
EHIRSN01,Reason not covered,Health Insurance,EPRV2END_EXP,Reason(s) Private health insurance coverage ended. (Too expensive),Health Insurance
EHISPSE,Coverage of spouse outside the household,Health Insurance,RHISPSE,Recode - indicates if spouse outside the household was covered by this insurance plan (comparable to prior SIPP Panels),Health Insurance
EHIUNT1,1st health insurance coverage unit for this month,Health Insurance,EHIUNT1,Health Insurance Coverage Unit (Private line 1); unique within a household. Members sharing the same coverage plan are identified by the same numeric unit value in a month.,Health Insurance
EHIUNT2,2nd health insurance coverage unit for this month,Health Insurance,EHIUNT2,Health Insurance Coverage Unit (Private line 2); unique within a household. Members sharing the same coverage plan are identified by the same numeric unit value in a month.,Health Insurance
EHIYNGKD,Coverage of younger child (under 20) outside the hhld,Health Insurance,RHIYNGKD,Recode - indicates if child under 18 outside the household was covered by this insurance plan (comparable to prior SIPP Panels),Health Insurance
EHLTSTAT,Report of current health status,Medical Expenses,EHLTSTAT,What is ... health status?,Health Care
EHMORT,Mortgage on home,Real Estate,EPRDEBT,"Whether there were any mortgages or loans against the primary residence as of December of the reference year [that is not a mobile home; such as mortgages, reverse mortgages, home equity loans, and other debt held against the home; this is household-level data, therefore this value is copied to every member of the household].",Assets
EHOSPNIT,Number of nights spent in hospital,Medical Expenses,THOSPNIT,How many nights did ... spend in the hospital?,Health Care
EHOTLUNC,Receipt of a school lunch,Household,ELUNCH_YN,Did child usually get the school lunch that his/her school provided?,Programs
EHOWWELL,Ability to speak English,Demographic,EHOWWELL,How well does ... speak English?,Demographics
EHPRTB1,Other owners/partners in household,Business,EJB1_HPRTB,Variable showing if anyone else in the household was an owner or partner in business 1.,Labor Force
EHPRTB2,Other owners/partners in household,Business,EJB2_HPRTB,Variable showing if anyone else in the household was an owner or partner in business 2.,Labor Force
EHRSBS1,Usual hours worked per week,Business,TJB1_JOBHRS1,First number of hours worked per week within a job.,Labor Force
EHRSBS1,Usual hours worked per week,Business,TJB1_JOBHRS2,Second number of hours worked per week within a job.,Labor Force
EHRSBS1,Usual hours worked per week,Business,TJB1_JOBHRS3,Third number of hours worked per week within a job.,Labor Force
EHRSBS2,Usual hours worked per week,Business,TJB2_JOBHRS1,First number of hours worked per week within a job.,Labor Force
EHRSBS2,Usual hours worked per week,Business,TJB2_JOBHRS2,Second number of hours worked per week within a job.,Labor Force
